"","host_acceptance_rate","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed.Cap.Rouge","neighbourhood_cleansed.Chutes.Montmorency","neighbourhood_cleansed.Cité.Universitaire","neighbourhood_cleansed.Des.Châtels","neighbourhood_cleansed.Duberger.Les.Saules","neighbourhood_cleansed.Jésuites","neighbourhood_cleansed.L.Aéroport","neighbourhood_cleansed.Lac.Saint.Charles","neighbourhood_cleansed.Lairet","neighbourhood_cleansed.Loretteville","neighbourhood_cleansed.Maizerets","neighbourhood_cleansed.Montcalm","neighbourhood_cleansed.Neufchâtel.Est.Lebourgneuf","neighbourhood_cleansed.Notre.Dame.des.Laurentides","neighbourhood_cleansed.Plateau","neighbourhood_cleansed.Pointe.de.Sainte.Foy","neighbourhood_cleansed.Quartier.4.2","neighbourhood_cleansed.Quartier.4.3","neighbourhood_cleansed.Quartier.4.5","neighbourhood_cleansed.Quartier.4.6","neighbourhood_cleansed.Quartier.5.1","neighbourhood_cleansed.Quartier.5.2","neighbourhood_cleansed.Quartier.5.4","neighbourhood_cleansed.Saint.Émile","neighbourhood_cleansed.Saint.Jean.Baptiste","neighbourhood_cleansed.Saint.Louis","neighbourhood_cleansed.Saint.Roch","neighbourhood_cleansed.Saint.Sacrement","neighbourhood_cleansed.Saint.Sauveur","neighbourhood_cleansed.Sillery","neighbourhood_cleansed.Val.Bélair","neighbourhood_cleansed.Vanier","neighbourhood_cleansed.Vieux.Limoilou","neighbourhood_cleansed.Vieux.Moulin","neighbourhood_cleansed.Vieux.Québec.Cap.Blanc.Colline.parlementaire","property_type.Camper.RV","property_type.Entire.apartment","property_type.Entire.bungalow","property_type.Entire.cabin","property_type.Entire.chalet","property_type.Entire.condominium","property_type.Entire.cottage","property_type.Entire.guest.suite","property_type.Entire.guesthouse","property_type.Entire.home.apt","property_type.Entire.house","property_type.Entire.loft","property_type.Entire.place","property_type.Entire.serviced.apartment","property_type.Entire.townhouse","property_type.Private.room","property_type.Private.room.in.apartment","property_type.Private.room.in.bed.and.breakfast","property_type.Private.room.in.bungalow","property_type.Private.room.in.condominium","property_type.Private.room.in.cottage","property_type.Private.room.in.guest.suite","property_type.Private.room.in.guesthouse","property_type.Private.room.in.hostel","property_type.Private.room.in.house","property_type.Private.room.in.loft","property_type.Private.room.in.nature.lodge","property_type.Private.room.in.serviced.apartment","property_type.Private.room.in.townhouse","property_type.Private.room.in.villa","property_type.Room.in.aparthotel","property_type.Room.in.bed.and.breakfast","property_type.Room.in.boutique.hotel","property_type.Room.in.hostel","property_type.Room.in.hotel","property_type.Room.in.nature.lodge","property_type.Room.in.serviced.apartment","property_type.Shared.room","property_type.Shared.room.in.apartment","property_type.Shared.room.in.condominium","property_type.Shared.room.in.dorm","property_type.Shared.room.in.hostel","property_type.Shared.room.in.loft","property_type.Shared.room.in.townhouse","property_type.Tiny.house","room_type.Entire.home.apt","room_type.Hotel.room","room_type.Private.room","room_type.Shared.room","accommodates","beds","price","minimum_nights","maximum_nights","minimum_maximum_nights","availability_30","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_seniority","private_bath","shared_bath","number_bath","classe_geographique.1","classe_geographique.2","classe_geographique.3","classe_geographique.4","classe_geographique.5","classe_geographique.6","classe_geographique.7","classe_geographique.8","classe_geographique.9","classe_geographique.10"
"1056",100,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,133,1,365,365,0,49,204,2,0,0,100,10,10,10,10,10,8,1,14,0,0,0.13,1054,0,0,1,0,0,0,0,0,0,1,0,0,0
"1057",100,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,145,1,365,365,14,59,227,2,0,0,80,9,10,10,10,10,10,1,14,0,0,0.14,1054,0,0,1,0,0,0,0,1,0,0,0,0,0
"1058",100,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,144,1,365,365,26,75,232,1,1,0,80,10,10,10,10,10,8,1,14,0,0,0.53,1054,0,0,1,0,0,0,0,1,0,0,0,0,0
"1059",100,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,139,1,365,365,27,84,242,1,0,0,60,10,10,6,10,10,10,1,14,0,0,0.07,1054,0,0,1,0,0,0,0,1,0,0,0,0,0
"1060",100,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,144,1,365,365,28,83,255,3,2,2,100,9,10,10,9,10,9,1,14,0,0,0.21,1054,0,0,1,0,0,0,0,0,0,1,0,0,0
"1061",100,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,144,1,365,365,30,77,243,1,0,0,100,10,10,10,8,10,10,1,14,0,0,0.07,1054,0,0,1,0,0,0,0,1,0,0,0,0,0
"1062",63,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,99,30,360,360,0,8,283,13,0,0,86,9,9,10,9,9,9,0,4,0,0,0.56,929,0,0,1,0,0,0,0,0,0,0,1,0,0
"1063",99,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,99,7,1125,1125,0,0,0,1,0,0,100,10,10,10,10,8,10,1,2,0,0,0.08,1519,0,0,1,0,0,0,0,1,0,0,0,0,0
"1064",95,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,3,175,1,1125,1125,30,82,350,60,13,2,98,10,10,10,10,10,10,0,2,0,0,2.41,2642,0,0,2,0,0,0,0,0,0,1,0,0,0
"1065",100,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,20,30,1125,1125,0,0,0,54,1,0,96,10,10,10,10,9,10,1,3,3,0,2.05,894,1,0,1,0,0,0,0,0,0,0,0,0,1
"1066",100,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,50,1,1125,1125,0,0,0,8,0,0,100,10,10,10,10,10,10,1,1,0,0,0.3,1799,0,0,1,0,0,0,0,0,0,0,1,0,0
"1067",98,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,400,1,1125,1125,0,0,0,3,0,0,87,8,9,10,9,9,7,1,8,3,0,0.11,1592,0,0,1,0,0,0,0,0,0,0,0,1,0
"1068",88,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,300,30,1125,1125,23,83,173,0,0,0,73,10,2,9,10,10,7,1,1,0,0,0.06,1315,0,0,2.5,0,0,0,1,0,0,0,0,0,0
"1069",90,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,45,1,1125,1125,0,0,0,5,0,0,88,9,9,9,10,9,10,1,1,0,0,0.19,825,0,0,1,0,0,0,1,0,0,0,0,0,0
"1070",100,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,120,1,1125,1125,30,90,365,60,9,0,91,9,9,10,9,9,9,1,2,0,0,2.59,1279,0,0,1,0,0,0,0,0,0,1,0,0,0
"1071",100,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,199,30,1125,1125,30,90,179,40,0,0,93,9,9,10,10,10,9,0,1,0,0,1.59,805,0,0,1,0,0,0,0,1,0,0,0,0,0
